type,src,dst,cidx,didx,period,error,cktElement,cktTerminal,cktPhase,cktProperty
SmartMeter,5093,1,0,0,15000,1.667e-05,Load.5093,BUS1,PHASE_2,None
SmartMeter,5094,1,0,0,15000,1.667e-05,Load.5094,BUS1,PHASE_3,None
SmartMeter,5095,1,0,0,15000,1.667e-05,Load.5095,BUS1,PHASE_2,None
SmartMeter,5096,1,0,0,15000,1.667e-05,Load.5096,BUS1,PHASE_2,None
SmartMeter,5097,1,0,0,15000,1.667e-05,Load.5097,BUS1,PHASE_3,None
SmartMeter,5098,1,0,0,15000,1.667e-05,Load.5098,BUS1,PHASE_3,None
SmartMeter,5099,1,0,0,15000,1.667e-05,Load.5099,BUS1,PHASE_2,None
SmartMeter,5100,1,0,0,15000,1.667e-05,Load.5100,BUS1,PHASE_2,None
SmartMeter,5101,1,0,0,15000,1.667e-05,Load.5101,BUS1,PHASE_1,None
SmartMeter,5102,1,0,0,15000,1.667e-05,Load.5102,BUS1,PHASE_3,None
SmartMeter,5103,1,0,0,15000,1.667e-05,Load.5103,BUS1,PHASE_1,None
SmartMeter,5104,1,0,0,15000,1.667e-05,Load.5104,BUS1,PHASE_1,None
SmartMeter,5105,1,0,0,15000,1.667e-05,Load.5105,BUS1,PHASE_2,None
SmartMeter,5106,1,0,0,15000,1.667e-05,Load.5106,BUS1,PHASE_1,None
SmartMeter,5107,1,0,0,15000,1.667e-05,Load.5107,BUS1,PHASE_1,None
SmartMeter,5108,1,0,0,15000,1.667e-05,Load.5108,BUS1,PHASE_2,None
SmartMeter,5109,1,0,0,15000,1.667e-05,Load.5109,BUS1,PHASE_1,None
SmartMeter,5110,1,0,0,15000,1.667e-05,Load.5110,BUS1,PHASE_1,None
SmartMeter,6056,1,0,0,15000,1.667e-05,Load.6056,BUS1,PHASE_1,None
SmartMeter,6057,1,0,0,15000,1.667e-05,Load.6057,BUS1,PHASE_2,None
SmartMeter,6058,1,0,0,15000,1.667e-05,Load.6058,BUS1,PHASE_1,None
SmartMeter,6059,1,0,0,15000,1.667e-05,Load.6059,BUS1,PHASE_1,None
SmartMeter,6060,1,0,0,15000,1.667e-05,Load.6060,BUS1,PHASE_1,None
SmartMeter,6061,1,0,0,15000,1.667e-05,Load.6061,BUS1,PHASE_2,None
SmartMeter,6062,1,0,0,15000,1.667e-05,Load.6062,BUS1,PHASE_2,None
SmartMeter,6063,1,0,0,15000,1.667e-05,Load.6063,BUS1,PHASE_3,None
SmartMeter,6064,1,0,0,15000,1.667e-05,Load.6064,BUS1,PHASE_1,None
SmartMeter,6065,1,0,0,15000,1.667e-05,Load.6065,BUS1,PHASE_2,None
SmartMeter,6066,1,0,0,15000,1.667e-05,Load.6066,BUS1,PHASE_2,None
SmartMeter,6067,1,0,0,15000,1.667e-05,Load.6067,BUS1,PHASE_3,None
SmartMeter,6068,1,0,0,15000,1.667e-05,Load.6068,BUS1,PHASE_2,None
SmartMeter,6069,1,0,0,15000,1.667e-05,Load.6069,BUS1,PHASE_1,None
